TESTACC,HC2,TS-CHIEF,HC1,InceptionTime,ROCKET,Arsenal,Features_noROCKET,Features_python,Features
ACSF1,0.93,0.84,0.94,0.91,0.9,0.89,0.89,0.92,0.92
Adiac,0.8132992327365729,0.7979539641943734,0.8107416879795396,0.8439897698209718,0.7698209718670077,0.7774936061381074,0.8491048593350383,0.8388746803069054,0.8491048593350383
ArrowHead,0.8628571428571429,0.8057142857142857,0.8228571428571428,0.8628571428571429,0.7942857142857143,0.8171428571428572,0.8,0.8571428571428571,0.8114285714285714
Beef,0.8666666666666667,0.7666666666666667,0.9,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8666666666666667
BeetleFly,0.95,1.0,0.95,0.85,0.9,0.9,0.9,0.95,0.9
BirdChicken,0.9,0.95,0.95,0.95,0.9,0.9,0.95,1.0,0.9
BME,1.0,0.9933333333333333,0.9533333333333334,1.0,1.0,1.0,1.0,1.0,1.0
Car,0.9166666666666666,0.8666666666666667,0.8333333333333334,0.9,0.85,0.9166666666666666,0.8666666666666667,0.9,0.9
CBF,1.0,0.9977777777777778,0.9988888888888889,0.9988888888888889,1.0,1.0,1.0,0.9988888888888888,1.0
Chinatown,0.9825072886297376,0.9681159420289855,0.9795918367346939,0.9854227405247813,0.9797101449275363,0.9797101449275363,0.9883381924198252,0.9825072886297376,0.9825072886297376
ChlorineConcentration,0.7713541666666667,0.6596354166666667,0.7388020833333333,0.8760416666666667,0.8067708333333333,0.78828125,0.7916666666666666,0.7903645833333334,0.78203125
CinCECGtorso,1.0,0.981159420289855,0.994927536231884,0.8528985507246377,0.8369565217391305,0.8391304347826087,0.991304347826087,0.9731884057971014,0.9920289855072464
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.764,0.7,0.776,0.808,0.752,0.764,0.792,0.76,0.804
CricketX,0.8256410256410256,0.8205128205128205,0.8076923076923077,0.8487179487179487,0.8256410256410256,0.8076923076923077,0.7512820512820513,0.7692307692307693,0.764102564102564
CricketY,0.8512820512820513,0.8,0.823076923076923,0.8435897435897436,0.8564102564102564,0.8435897435897436,0.7717948717948718,0.782051282051282,0.7717948717948718
CricketZ,0.8641025641025641,0.8307692307692308,0.823076923076923,0.8487179487179487,0.8589743589743589,0.8615384615384616,0.7974358974358975,0.7717948717948718,0.7948717948717948
Crop,0.7651190476190476,0.7641666666666667,0.7725595238095239,0.7985119047619048,0.7514285714285714,0.7448809523809524,0.7834523809523809,0.7814285714285715,0.7788095238095238
DiatomSizeReduction,0.9575163398692811,0.9640522875816994,0.934640522875817,0.9477124183006536,0.9673202614379085,0.9738562091503268,0.9019607843137256,0.8725490196078431,0.8823529411764706
DistalPhalanxOutlineAgeGroup,0.7482014388489209,0.7482014388489209,0.7553956834532374,0.7338129496402878,0.7482014388489209,0.7553956834532374,0.7769784172661871,0.7553956834532374,0.7553956834532374
DistalPhalanxOutlineCorrect,0.7753623188405797,0.7572463768115942,0.7717391304347826,0.7862318840579711,0.7608695652173914,0.7608695652173914,0.7898550724637681,0.7971014492753623,0.8007246376811594
DistalPhalanxTW,0.7050359712230215,0.6762589928057554,0.6762589928057554,0.6546762589928058,0.7194244604316546,0.7194244604316546,0.7050359712230215,0.6834532374100719,0.7050359712230215
Earthquakes,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7122302158273381,0.7482014388489209,0.7482014388489209,0.7769784172661871,0.7553956834532374,0.762589928057554
ECG200,0.89,0.84,0.86,0.91,0.91,0.9,0.9,0.89,0.89
ECG5000,0.9471111111111111,0.9455555555555556,0.9473333333333334,0.9415555555555556,0.9473333333333334,0.9462222222222222,0.9451111111111112,0.9437777777777778,0.9446666666666668
ECGFiveDays,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ElectricDevices,0.7576189858643496,0.7599533134483206,0.7459473479444949,0.7211775385812476,0.7261055634807418,0.7322007521722215,0.7607314226429776,0.7739592789521463,0.765789132408248
EOGHorizontalSignal,0.6574585635359116,0.6546961325966851,0.6104972375690608,0.6298342541436464,0.6519337016574586,0.643646408839779,0.6353591160220995,0.6104972375690608,0.6132596685082873
EOGVerticalSignal,0.569060773480663,0.5966850828729282,0.5469613259668509,0.5165745856353591,0.5331491712707183,0.5524861878453039,0.56353591160221,0.574585635359116,0.574585635359116
EthanolLevel,0.696,0.528,0.684,0.832,0.57,0.584,0.582,0.594,0.59
FaceAll,0.8680473372781065,0.8420118343195266,0.778698224852071,0.7928994082840237,0.9467455621301775,0.9467455621301775,0.7591715976331361,0.7579881656804733,0.7615384615384615
FaceFour,1.0,1.0,0.9886363636363636,0.9545454545454546,0.9772727272727273,0.9772727272727273,0.9886363636363636,0.9659090909090908,0.9659090909090908
FacesUCR,0.9634146341463414,0.9668292682926829,0.9590243902439024,0.9721951219512195,0.9614634146341463,0.9619512195121951,0.8965853658536586,0.906829268292683,0.9034146341463416
FiftyWords,0.832967032967033,0.8483516483516483,0.7758241758241758,0.8461538461538461,0.832967032967033,0.8219780219780219,0.7868131868131868,0.7868131868131868,0.7978021978021979
Fish,0.9885714285714285,0.9942857142857143,0.9942857142857143,0.9828571428571429,0.9714285714285714,0.9771428571428571,0.9542857142857144,0.9485714285714286,0.9371428571428572
FordA,0.9537878787878787,0.95,0.9507575757575758,0.9606060606060606,0.9416666666666667,0.9462121212121212,1.0,1.0,1.0
FordB,0.8308641975308642,0.8234567901234567,0.8320987654320988,0.8493827160493828,0.8061728395061728,0.8037037037037037,0.8308641975308642,0.8382716049382716,0.8345679012345679
FreezerRegularTrain,0.9996491228070176,0.9975438596491228,0.9975438596491228,0.9968421052631579,0.9964912280701754,0.9971929824561403,0.9996491228070176,0.9996491228070176,0.9996491228070176
FreezerSmallTrain,0.9989473684210526,0.9978947368421053,0.9856140350877193,0.8459649122807018,0.9498245614035088,0.9501754385964912,0.9992982456140352,0.9992982456140352,0.9992982456140352
GunPoint,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,0.9866666666666668,0.9866666666666668,0.9866666666666668
GunPointAgeSpan,0.9968354430379747,1.0,0.9968354430379747,0.990506329113924,0.9968354430379747,0.9968354430379747,0.9525316455696202,0.9841772151898734,0.9651898734177216
GunPointMaleVersusFemale,1.0,1.0,1.0,1.0,0.9968354430379747,0.9968354430379747,0.9936708860759492,0.9936708860759492,0.9936708860759492
GunPointOldVersusYoung,1.0,1.0,1.0,1.0,0.9936507936507937,0.9873015873015873,1.0,1.0,1.0
Ham,0.6952380952380952,0.7047619047619048,0.7047619047619048,0.7238095238095238,0.7142857142857143,0.7333333333333333,0.7619047619047619,0.7619047619047619,0.780952380952381
